job_name,dataset,shuffle_partitions,executor_memory,executor_cores,default_parallelism,memory_fraction,execution_time_sec,timestamp
join,txn_10m.csv,16,3g,4,8,0.8,15.574,2026-03-14 18:03:38
join,txn_10m.csv,16,3g,4,32,0.6,14.511,2026-03-14 18:04:10
join,txn_10m.csv,16,3g,4,32,0.8,13.701,2026-03-14 18:04:41
join,txn_10m.csv,32,2g,2,8,0.6,15.957,2026-03-14 18:05:16
join,txn_10m.csv,32,2g,2,8,0.8,14.622,2026-03-14 18:05:47
join,txn_10m.csv,32,2g,2,32,0.6,17.038,2026-03-14 18:06:23
join,txn_10m.csv,32,2g,2,32,0.8,14.202,2026-03-14 18:06:59
join,txn_10m.csv,32,2g,4,8,0.6,17.182,2026-03-14 18:07:35
join,txn_10m.csv,32,2g,4,8,0.8,17.095,2026-03-14 18:08:15
join,txn_10m.csv,32,2g,4,32,0.6,16.559,2026-03-14 18:08:52
join,txn_10m.csv,32,2g,4,32,0.8,16.743,2026-03-14 18:09:28
join,txn_10m.csv,32,3g,2,8,0.6,19.445,2026-03-14 18:10:08
join,txn_10m.csv,32,3g,2,8,0.8,17.76,2026-03-14 18:10:47
join,txn_10m.csv,32,3g,2,32,0.6,16.544,2026-03-14 18:11:24
join,txn_10m.csv,32,3g,2,32,0.8,15.538,2026-03-14 18:11:59
join,txn_10m.csv,32,3g,4,8,0.6,17.796,2026-03-14 18:12:37
join,txn_10m.csv,32,3g,4,8,0.8,46.818,2026-03-14 18:13:45
join,txn_10m.csv,32,3g,4,32,0.6,14.835,2026-03-14 18:14:19
join,txn_10m.csv,32,3g,4,32,0.8,15.427,2026-03-14 18:14:56
join,txn_10m.csv,64,2g,2,8,0.6,17.527,2026-03-14 18:15:33
join,txn_10m.csv,64,2g,2,8,0.8,16.868,2026-03-14 18:16:10
join,txn_10m.csv,64,2g,2,32,0.6,17.134,2026-03-14 18:16:47
join,txn_10m.csv,64,2g,2,32,0.8,16.597,2026-03-14 18:17:24
join,txn_10m.csv,64,2g,4,8,0.6,17.07,2026-03-14 18:18:01
join,txn_10m.csv,64,2g,4,8,0.8,17.802,2026-03-14 18:18:39
join,txn_10m.csv,64,2g,4,32,0.6,17.045,2026-03-14 18:19:17
join,txn_10m.csv,64,2g,4,32,0.8,16.424,2026-03-14 18:19:54
join,txn_10m.csv,64,3g,2,8,0.6,17.744,2026-03-14 18:20:33
join,txn_10m.csv,64,3g,2,8,0.8,17.883,2026-03-14 18:21:11
join,txn_10m.csv,64,3g,2,32,0.6,17.639,2026-03-14 18:21:49
join,txn_10m.csv,64,3g,2,32,0.8,17.693,2026-03-14 18:22:28
join,txn_10m.csv,64,3g,4,8,0.6,16.252,2026-03-14 18:23:05
join,txn_10m.csv,64,3g,4,8,0.8,16.631,2026-03-14 18:23:42
join,txn_10m.csv,64,3g,4,32,0.6,20.057,2026-03-14 18:24:24
join,txn_10m.csv,64,3g,4,32,0.8,17.617,2026-03-14 18:25:04
join,transactions_25m.csv,4,2g,2,8,0.6,58.084,2026-03-14 18:26:43
join,transactions_25m.csv,4,2g,2,8,0.8,60.401,2026-03-14 18:28:18
join,transactions_25m.csv,4,2g,2,32,0.6,54.522,2026-03-14 18:29:55
join,transactions_25m.csv,4,2g,2,32,0.8,42.19,2026-03-14 18:31:14
join,transactions_25m.csv,4,2g,4,8,0.6,39.9,2026-03-14 18:32:28
join,transactions_25m.csv,4,2g,4,8,0.8,34.468,2026-03-14 18:33:28
join,transactions_25m.csv,4,2g,4,32,0.6,37.415,2026-03-14 18:34:31
join,transactions_25m.csv,4,2g,4,32,0.8,33.953,2026-03-14 18:35:32
join,transactions_25m.csv,4,3g,2,8,0.6,35.046,2026-03-14 18:36:34
join,transactions_25m.csv,4,3g,2,8,0.8,34.492,2026-03-14 18:37:35
join,transactions_25m.csv,4,3g,2,32,0.6,40.481,2026-03-14 18:38:41
join,transactions_25m.csv,4,3g,2,32,0.8,32.992,2026-03-14 18:39:40
join,transactions_25m.csv,4,3g,4,8,0.6,34.921,2026-03-14 18:40:40
join,transactions_25m.csv,4,3g,4,8,0.8,36.053,2026-03-14 18:41:42
